Topic	Normalized Score
0	-1.431
1	-0.501
2	0.915
3	2.753
4	-1.025
5	0.301
6	-1.105
7	-0.730
8	-0.670
9	-0.273
10	-0.732
11	1.616
12	-0.219
13	1.456
14	0.337
15	-1.083
16	-0.156
17	-0.966
18	-1.776
19	1.153
20	0.958
21	-0.291
22	0.781
23	0.381
24	-1.145
25	1.102
26	0.821
27	0.683
28	1.339
29	-0.425
30	0.361
31	-0.633
32	0.362
33	0.395
34	1.863
35	0.416
36	0.755
37	-0.527
38	0.221
39	0.997
40	1.028
41	-0.729
42	-1.314
43	-0.936
44	-1.356
45	0.122
46	0.692
47	-1.272
48	0.392
49	0.247
50	-0.644
51	-0.679
52	-1.349
53	0.366
54	-1.186
55	0.327
56	0.410
57	0.941
58	2.566
59	0.762
60	-0.511
61	-2.375
62	1.624
63	-0.179
64	0.664
65	-0.323
66	0.625
67	0.551
68	0.539
69	-0.358
70	0.497
71	-0.708
72	0.099
73	2.104
74	-0.516
75	-0.134
76	-1.076
77	0.697
78	-0.472
79	0.521
80	0.625
81	1.095
82	-0.132
83	-0.153
84	0.535
85	-1.367
86	-0.220
87	0.140
88	1.712
89	-1.088
90	-0.617
91	-1.236
92	-0.766
93	0.386
94	0.044
95	-0.387
96	1.781
97	-0.225
98	-0.508
99	-0.885
100	-2.603
101	1.526
102	2.544
103	0.055
104	2.459
105	0.793
106	0.124
107	0.419
108	-0.944
109	1.678
110	0.423
111	0.985
112	0.703
113	-0.612
114	-0.329
115	-0.109
116	0.675
117	0.527
118	-2.435
119	0.424
120	-1.530
121	1.188
122	0.677
123	-0.141
124	0.431
125	0.739
126	-1.264
127	2.315
128	-0.494
129	-2.312
130	-1.212
131	-0.659
132	-1.110
133	-0.153
134	-0.471
135	-0.219
136	1.219
137	1.102
138	0.175
139	-0.022
140	-0.468
141	-0.837
142	-0.880
143	1.428
144	0.192
145	-1.552
146	-0.233
147	0.199
148	-0.447
149	1.724
150	0.598
151	-0.263
152	-0.779
153	-0.986
154	-0.462
155	-1.633
156	-0.830
157	0.137
158	-0.991
159	3.391
160	-1.258
161	-0.753
162	-0.937
163	-0.152
164	0.852
165	0.692
166	0.832
167	-0.013
168	-1.231
169	0.726
170	1.666
171	-1.351
172	-0.249
173	3.226
174	1.185
175	-0.968
176	0.222
177	0.840
178	0.447
179	-1.083
180	-0.019
181	-0.242
182	0.265
183	0.072
184	-0.168
185	-0.648
186	1.527
187	-0.248
188	0.650
189	0.147
190	2.136
191	-0.388
192	-0.616
193	-0.884
194	-0.072
195	-0.581
196	1.212
197	0.128
198	-0.502
199	-0.154
200	1.649
201	-0.503
202	-0.751
203	-1.338
204	-0.134
205	0.500
206	0.950
207	0.374
208	1.445
209	0.973
210	-0.542
211	-1.377
212	-1.642
213	-2.010
214	-1.632
215	-1.246
216	2.829
217	-0.844
218	-1.533
219	-0.080
220	-2.972
221	0.784
222	0.713
223	0.030
224	-0.817
225	0.441
226	-0.442
227	0.331
228	0.913
229	0.338
230	0.723
231	-0.656
232	-0.322
233	-0.545
234	0.788
235	-0.134
236	-0.188
237	-0.081
238	-1.245
239	0.747
240	0.291
241	0.737
242	-1.563
243	1.028
244	-0.446
245	-0.269
246	0.558
247	1.946
248	-0.051
249	-0.914
250	0.430
251	-0.227
252	0.611
253	0.365
254	2.835
255	1.840
256	0.691
257	0.688
258	-1.440
259	-0.300
260	-0.286
261	-1.200
262	0.259
263	-1.467
264	-1.037
265	0.623
266	0.761
267	-0.362
268	-0.056
269	-0.407
270	0.553
271	-0.633
272	1.043
273	0.573
274	-0.624
275	0.536
276	-0.092
277	-0.936
278	-0.698
279	-0.588
280	-0.259
281	-1.251
282	-1.647
283	1.744
284	0.274
285	2.482
286	0.669
287	1.419
288	1.252
289	1.512
290	0.090
291	-0.344
292	-0.804
293	-1.152
294	0.625
295	2.028
296	0.674
297	1.192
298	1.273
299	-0.685
300	2.665
301	1.721
302	0.262
303	0.117
304	0.481
305	-0.352
306	-2.364
307	0.251
308	0.809
309	0.554
310	2.223
311	-0.589
312	-1.219
313	-0.184
314	1.351
315	0.253
316	-0.062
317	0.521
318	-0.073
319	0.097
320	0.105
321	0.620
322	-0.556
323	2.989
324	-2.181
325	0.925
326	-0.227
327	-0.694
328	0.624
329	0.991
