Topic	Normalized Score
857	3.539
1168	3.464
159	3.391
173	3.226
1004	3.215
415	3.212
1083	3.147
927	3.100
323	2.989
1172	2.888
254	2.835
216	2.829
3	2.753
1079	2.683
300	2.665
583	2.628
58	2.566
669	2.550
102	2.544
426	2.503
285	2.482
104	2.459
717	2.405
386	2.368
772	2.356
923	2.355
127	2.315
457	2.295
549	2.265
1252	2.258
484	2.236
639	2.232
970	2.224
310	2.223
1184	2.185
1176	2.164
835	2.154
190	2.136
468	2.134
872	2.118
73	2.104
765	2.093
660	2.090
1144	2.070
569	2.065
1253	2.051
365	2.032
295	2.028
375	2.028
536	2.004
247	1.946
573	1.935
442	1.886
1121	1.873
34	1.863
1107	1.863
255	1.840
831	1.836
1134	1.821
968	1.816
496	1.802
1044	1.799
702	1.791
96	1.781
680	1.770
839	1.762
283	1.744
149	1.724
301	1.721
88	1.712
623	1.702
691	1.695
1160	1.680
109	1.678
1175	1.674
641	1.671
170	1.666
563	1.661
346	1.657
537	1.655
703	1.654
200	1.649
645	1.642
1125	1.638
805	1.627
521	1.625
62	1.624
11	1.616
568	1.612
421	1.581
538	1.576
916	1.570
1124	1.547
186	1.527
101	1.526
795	1.525
289	1.512
1001	1.496
1241	1.494
1170	1.460
13	1.456
208	1.445
908	1.433
143	1.428
659	1.424
287	1.419
1038	1.415
475	1.412
1133	1.401
601	1.399
381	1.397
465	1.387
1262	1.377
340	1.373
509	1.363
314	1.351
837	1.348
853	1.343
28	1.339
959	1.333
1247	1.321
957	1.303
1076	1.295
349	1.292
850	1.276
298	1.273
890	1.260
288	1.252
817	1.252
1222	1.232
712	1.229
1008	1.225
136	1.219
196	1.212
779	1.207
834	1.204
297	1.192
121	1.188
174	1.185
788	1.175
434	1.164
362	1.156
610	1.155
352	1.153
19	1.153
1034	1.144
383	1.143
833	1.141
1140	1.140
1174	1.137
935	1.131
619	1.122
602	1.109
137	1.102
25	1.102
560	1.100
81	1.095
371	1.094
1007	1.093
379	1.077
828	1.069
391	1.067
929	1.059
900	1.056
895	1.051
272	1.043
1232	1.039
808	1.035
40	1.028
990	1.028
243	1.028
983	1.026
508	1.022
899	1.021
338	1.006
708	1.005
1025	1.001
544	0.999
39	0.997
329	0.991
111	0.985
209	0.973
940	0.971
798	0.971
903	0.966
904	0.961
20	0.958
1119	0.958
709	0.957
206	0.950
932	0.946
582	0.944
57	0.941
367	0.939
410	0.938
714	0.938
542	0.936
498	0.929
625	0.927
325	0.925
1002	0.924
2	0.915
228	0.913
911	0.910
593	0.909
1190	0.908
1023	0.886
731	0.883
688	0.874
1242	0.874
363	0.873
587	0.861
986	0.858
647	0.855
164	0.852
820	0.849
557	0.848
596	0.847
177	0.840
388	0.834
912	0.833
166	0.832
1233	0.830
781	0.829
881	0.823
26	0.821
656	0.818
308	0.809
368	0.808
1166	0.805
1042	0.799
982	0.799
105	0.793
234	0.788
221	0.784
22	0.781
1050	0.774
692	0.774
572	0.764
746	0.763
59	0.762
266	0.761
588	0.759
815	0.758
608	0.757
36	0.755
408	0.754
933	0.753
764	0.749
239	0.747
125	0.739
469	0.738
459	0.738
342	0.738
241	0.737
794	0.737
694	0.737
432	0.735
1204	0.734
936	0.733
169	0.726
384	0.725
230	0.723
1240	0.719
704	0.717
869	0.715
813	0.714
222	0.713
433	0.705
112	0.703
638	0.699
77	0.697
46	0.692
165	0.692
436	0.692
256	0.691
1181	0.690
257	0.688
27	0.683
777	0.682
1101	0.678
122	0.677
116	0.675
296	0.674
829	0.670
286	0.669
1244	0.668
464	0.667
789	0.667
1154	0.666
64	0.664
721	0.661
1063	0.656
748	0.655
1197	0.655
499	0.651
188	0.650
961	0.649
914	0.646
514	0.641
700	0.641
562	0.641
871	0.640
1072	0.640
997	0.638
807	0.636
889	0.628
411	0.626
66	0.625
80	0.625
294	0.625
328	0.624
265	0.623
858	0.622
321	0.620
1049	0.614
252	0.611
393	0.611
972	0.610
996	0.609
762	0.609
668	0.606
399	0.606
1036	0.602
977	0.598
150	0.598
658	0.597
613	0.597
884	0.594
566	0.593
529	0.580
273	0.573
864	0.562
1236	0.559
246	0.558
1220	0.558
309	0.554
270	0.553
361	0.552
67	0.551
859	0.551
963	0.550
1217	0.545
1015	0.540
68	0.539
275	0.536
616	0.536
84	0.535
930	0.528
117	0.527
506	0.526
855	0.522
317	0.521
79	0.521
667	0.514
439	0.510
627	0.509
586	0.508
1091	0.505
1195	0.503
205	0.500
429	0.500
517	0.499
70	0.497
1033	0.496
1179	0.495
793	0.495
424	0.490
